PMID,Title,Publication Date
39461686,Intra-procedural and Post-procedural Adverse Events Associated with a Single Chamber Atrial Leadless Pacemaker.,"Oct, 2024"
39453298,Pulmonary Artery Injury Following Endocardial Left Atrial Appendage Occlusion: The Known and Unknown.,"Oct, 2024"
39446644,Real-World Safety of Prostate Cancer Focal Therapy: MAUDE Database Analysis.,"Oct, 2024"
39443407,Early insights on adverse events associated with PulseSelect™ and FARAPULSE™: analysis of the MAUDE database.,"Oct, 2024"
39397352,A comparison of procedure-related adverse events between two right ventricular leadless pacemakers.,"Oct, 2024"
39368716,Adverse Events of the Over The Scope Endoscopic Clips and Cutters: A MAUDE Database Analysis.,"Oct, 2024"
39353499,Underreporting of complications following AF ablation: Comparison of the manufacturer and user facility device experience FDA database and a voluntary invitation-based registry: The POTTER-AF 3 study.,"Oct, 2024"
39356032,Adverse events related to laser fibers and laser machines during ureteroscopy and stone lithotripsy: Insights from an updated 10-year analysis of the US MAUDE database.,"Oct, 2024"
39346784,A MAUDE database analysis on the new generation of active bone conduction hearing implants.,"Sep, 2024"
39326927,Analysis of 1027 Adverse Events Reports for Interspinous Process Devices From the US Food and Drug Administration Manufacturer and User Facility Device Experience Database.,"Sep, 2024"
39318983,Adverse Events Associated With 3 Vitrectomy Platforms Reported to the US FDA MAUDE Database.,"Sep, 2024"
39311943,Adverse events related to robotic-assisted knee arthroplasty: a cross-sectional study from the MAUDE database.,"Sep, 2024"
39284394,How Often Does Technology Fail in Robotic-Assisted Arthroplasty? A Comprehensive Analysis of a United States Food and Drug Administration Database.,"Sep, 2024"
39281406,Adverse Events of Femtosecond-Assisted Laser-Assisted In situ Keratomileusis: A Manufacturer and User Facility Device Experience Database Study.,"Sep, 2024"
39276215,Trends and incidence of reported events associated with ureteral stents: an analysis of the food and drug administration's manufacturer and user facility device experience (MAUDE) database.,"Sep, 2024"
39216717,Failure to treat ventricular tachycardia or ventricular fibrillation by implantable cardioverter-defibrillators.,"Sep, 2024"
39208707,Analysis of antibiotic resistant infections associated with hirudotherapy.,"Aug, 2024"
39176609,Developing a Generative AI-Powered Chatbot for Analyzing MAUDE Database.,"Aug, 2024"
39176599,A Data Pipeline for Enhancing Quality of MAUDE-Based Studies.,"Aug, 2024"
39155262,[Monitoring System of Medical Device Adverse Events in the US and Application of MAUDE Database in Medical Device Registration].,"Aug, 2024"
39122507,Keep an Eye on At-Home Devices: Energy-Based Acne and Anti-Aging Devices are Associated with Ocular Adverse Events in a Retrospective Analysis Using the MAUDE Database.,"Aug, 2024"
39106679,MAUDE database and Eustachian tube balloon dilation: Evaluation of adverse events and sales data.,"Aug, 2024"
39099264,Adverse events associated with robotic-assistance in total hip arthroplasty: an analysis based on the FDA MAUDE database.,"Aug, 2024"
39067092,Adverse events related to suction electrocautery devices in adenotonsillectomy: Analysis of the MAUDE database.,"Jul, 2024"
39049270,Enhancing MAUDE Database Utility by GPT-4 and Cause-Effect Visualization.,"Jul, 2024"
38988303,Complications Associated with AMBU™ Scope Use: An FDA MAUDE Analysis.,"Jul, 2024"
38978283,Catheter-related and clinical complications associated with QDOT MICROTM Ablation Catheter.,"Jul, 2024"
38943447,Comprehensive Analysis of Adverse Events Associated With Hypoglossal Nerve Stimulators: Insights From the MAUDE Database.,"Jun, 2024"
38888060,Are There Hidden Adverse Events in Hypoglossal Nerve Stimulation: Comparing Social Media and a Federal Database.,"Jun, 2024"
38878940,Clinical outcomes associated with an esophageal cooling device.,"Jun, 2024"
38875724,"Characterizing the safety profile of vagus nerve stimulation devices for epilepsy from 21,448 manufacturer and user reports.","Jun, 2024"
38874875,Postmarketing Reports of Incomplete Dosing-Related Complications with Self-Injected PCSK9 Inhibitors: A Descriptive Study and Disproportionality Analysis.,"Jun, 2024"
38819199,Reasons for Revision Surgery After Cervical Disk Arthroplasty Based on Medical Device Reports Maintained by the US Food and Drug Administration.,"May, 2024"
38815918,What is the MAUDE Database Telling us about 510(k) Authorization? Evaluation of Two Generations of Endovascular Arteriovenous Fistula Devices.,"May, 2024"
38811504,A Comprehensive Analysis of Reported Adverse Events and Device Failures Associated with Esophageal Self-Expandable Metal Stents: An FDA MAUDE Database Study.,"May, 2024"
38810538,Auditory brainstem implants: an analysis of adverse events in the MAUDE database.,"May, 2024"
38740730,"Themes, Rates, and Risk of Adverse Events of the Artificial Pancreas in the United States Using MAUDE.","May, 2024"
38694934,Adverse Events in Total Artificial Heart for End-Stage Heart Failure: Insight From the Food and Drug Administration Manufacturer and User Facility Device Experience (MAUDE).,"May, 2024"
38658678,Intraocular Inflammation with faricimab: insights from Manufacturer and User Facility Device Experience (MAUDE) database.,"Apr, 2024"
